match_id,date,season,batting_team,opponent,venue,over,ball,bowler,batter_runs,total_runs,is_wicket,dismissal_kind,arm,bowl_type
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0,5,Mohammed Siraj,1,1,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,1,K Rabada,1,1,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,3,K Rabada,0,0,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,4,K Rabada,0,1,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,5,K Rabada,0,0,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,6,K Rabada,4,4,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,7,K Rabada,0,0,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",3,1,K Rabada,0,0,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",3,2,K Rabada,0,1,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",3,3,K Rabada,4,4,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",3,4,K Rabada,1,1,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4,1,Ashok Sharma,4,4,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4,2,Ashok Sharma,6,6,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4,3,Ashok Sharma,1,1,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",5,1,M Prasidh Krishna,1,1,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",5,6,M Prasidh Krishna,0,0,False,,right,pace
1527682,2026-04-04,2026,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",6,2,Rashid Khan,0,0,True,caught,right,spin
1527686,2026-04-07,2026,Rajasthan Royals,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",1,1,JJ Bumrah,6,6,False,,right,pace
1527686,2026-04-07,2026,Rajasthan Royals,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",1,2,JJ Bumrah,1,1,False,,right,pace
